block_cd,yyyy/mm/dd,hh,boost
1102,2022/5/7,12,1.3
1102,2022/5/7,13,1.4
1102,2022/5/7,14,1.2
1102,2022/5/7,15,1.3
1102,2022/5/7,16,1.4
1102,2022/5/7,17,2
1102,2022/5/7,18,2.2
1102,2022/5/7,19,1.7
1102,2022/5/7,20,1.3
1102,2022/5/7,21,1.2
1102,2022/5/7,22,1.2
1102,2022/5/7,23,1.6
1102,2022/5/8,0,1.6
1102,2022/5/8,1,1.6
1102,2022/5/8,2,1.6
1102,2022/5/8,3,1.7
1102,2022/5/8,4,1.7
1102,2022/5/8,5,1.7
1102,2022/5/8,6,1.7
1102,2022/5/8,7,1.7
1102,2022/5/8,8,1.7
1102,2022/5/8,9,1.7
1102,2022/5/8,10,1.6
1102,2022/5/8,11,1.9
1102,2022/5/8,12,1.6
1102,2022/5/8,13,1.3
1102,2022/5/8,14,1.4
1102,2022/5/8,15,1.7
1102,2022/5/8,16,1.8
1102,2022/5/8,17,2.1
1102,2022/5/8,18,2.2
1102,2022/5/8,19,2
1102,2022/5/8,20,1.3
1102,2022/5/8,21,1.2
1102,2022/5/8,22,1.7
1102,2022/5/8,23,1.3
1102,2022/5/9,0,1.3
1102,2022/5/9,1,1.3
1102,2022/5/9,2,1.3
1102,2022/5/9,3,1.4
1102,2022/5/9,4,1.4
1102,2022/5/9,5,1.4
1102,2022/5/9,6,1.4
1102,2022/5/9,7,1.4
1102,2022/5/9,8,1.4
1102,2022/5/9,9,1.4
1102,2022/5/9,10,1.2
1102,2022/5/9,11,1.3
1102,2022/5/9,12,1.1
1102,2022/5/9,13,1.1
1102,2022/5/9,14,1.1
1102,2022/5/9,15,1.1
1102,2022/5/9,16,1.3
1102,2022/5/9,17,1.5
1102,2022/5/9,18,1.6
1102,2022/5/9,19,1.5
1102,2022/5/9,20,1.1
1102,2022/5/9,21,1
1102,2022/5/9,22,1.1
1102,2022/5/9,23,1.2
1102,2022/5/10,0,1.2
1102,2022/5/10,1,1.2
1102,2022/5/10,2,1.2
1102,2022/5/10,3,1.4
1102,2022/5/10,4,1.4
1102,2022/5/10,5,1.4
1102,2022/5/10,6,1.4
1102,2022/5/10,7,1.4
1102,2022/5/10,8,1.4
1102,2022/5/10,9,1.4
1102,2022/5/10,10,1.2
1102,2022/5/10,11,1.3
1102,2022/5/10,12,1.1
1102,2022/5/10,13,1.1
1102,2022/5/10,14,1.1
1102,2022/5/10,15,1.1
1102,2022/5/10,16,1.3
1102,2022/5/10,17,1.5
1102,2022/5/10,18,1.6
1102,2022/5/10,19,1.5
1102,2022/5/10,20,1.1
1102,2022/5/10,21,1
1102,2022/5/10,22,1.1
1102,2022/5/10,23,1.2
1102,2022/5/11,0,1.2
1102,2022/5/11,1,1.2
1102,2022/5/11,2,1.2
1102,2022/5/11,3,1.4
1102,2022/5/11,4,1.4
1102,2022/5/11,5,1.4
1102,2022/5/11,6,1.4
1102,2022/5/11,7,1.4
1102,2022/5/11,8,1.4
1102,2022/5/11,9,1.4
1102,2022/5/11,10,1.2
1102,2022/5/11,11,1.3
1102,2022/5/11,12,1.1
1102,2022/5/11,13,1.1
1102,2022/5/11,14,1.1
1102,2022/5/11,15,1.1
1102,2022/5/11,16,1.3
1102,2022/5/11,17,1.5
1102,2022/5/11,18,1.6
1102,2022/5/11,19,1.5
1102,2022/5/11,20,1.1
1102,2022/5/11,21,1
1102,2022/5/11,22,1.1
1102,2022/5/11,23,1.2
1102,2022/5/12,0,1.2
1102,2022/5/12,1,1.2
1102,2022/5/12,2,1.2
1102,2022/5/12,3,1.6
1102,2022/5/12,4,1.6
1102,2022/5/12,5,1.6
1102,2022/5/12,6,1.6
1102,2022/5/12,7,1.6
1102,2022/5/12,8,1.6
1102,2022/5/12,9,1.6
1102,2022/5/12,10,1.3
1102,2022/5/12,11,1.3
1102,2022/5/12,12,1.2
1102,2022/5/12,13,1.2
1102,2022/5/12,14,1
1102,2022/5/12,15,1.1
1102,2022/5/12,16,1.1
1102,2022/5/12,17,1.7
1102,2022/5/12,18,1.7
1102,2022/5/12,19,1.5
1102,2022/5/12,20,1.3
1102,2022/5/12,21,1
1102,2022/5/12,22,1.3
1102,2022/5/12,23,1.1
1102,2022/5/13,0,1.1
1102,2022/5/13,1,1.1
1102,2022/5/13,2,1.1
1102,2022/5/13,3,1.7
1102,2022/5/13,4,1.7
1102,2022/5/13,5,1.7
1102,2022/5/13,6,1.7
1102,2022/5/13,7,1.7
1102,2022/5/13,8,1.7
1102,2022/5/13,9,1.7
1102,2022/5/13,10,1.6
1102,2022/5/13,11,1.9
1102,2022/5/13,12,1.6
1102,2022/5/13,13,1.3
1102,2022/5/13,14,1.4
1102,2022/5/13,15,1.7
1102,2022/5/13,16,1.8
1102,2022/5/13,17,2.1
1102,2022/5/13,18,2.2
1102,2022/5/13,19,2
1102,2022/5/13,20,1.3
1102,2022/5/13,21,1.2
1102,2022/5/13,22,1.7
1102,2022/5/13,23,1.3
1103,2022/5/7,0,1
1103,2022/5/7,1,1
1103,2022/5/7,2,1
1103,2022/5/7,3,1
1103,2022/5/7,4,1
1103,2022/5/7,5,1
1103,2022/5/7,6,1
1103,2022/5/7,7,1
1103,2022/5/7,8,1
1103,2022/5/7,9,1
1103,2022/5/7,10,1
1103,2022/5/7,11,1
1103,2022/5/7,12,1
1103,2022/5/7,13,1
1103,2022/5/7,14,1
1103,2022/5/7,15,1
1103,2022/5/7,16,1
1103,2022/5/7,17,1.3
1103,2022/5/7,18,1.3
1103,2022/5/7,19,1.2
1103,2022/5/7,20,1
1103,2022/5/7,21,1
1103,2022/5/7,22,1
1103,2022/5/7,23,1
1103,2022/5/8,0,1
1103,2022/5/8,1,1
1103,2022/5/8,2,1
1103,2022/5/8,3,1
1103,2022/5/8,4,1
1103,2022/5/8,5,1
1103,2022/5/8,6,1
1103,2022/5/8,7,1
1103,2022/5/8,8,1
1103,2022/5/8,9,1
1103,2022/5/8,10,1
1103,2022/5/8,11,1
1103,2022/5/8,12,1
1103,2022/5/8,13,1
1103,2022/5/8,14,1
1103,2022/5/8,15,1
1103,2022/5/8,16,1
1103,2022/5/8,17,1.2
1103,2022/5/8,18,1.4
1103,2022/5/8,19,1.2
1103,2022/5/8,20,1
1103,2022/5/8,21,1
1103,2022/5/8,22,1
1103,2022/5/8,23,1
1103,2022/5/9,0,1
1103,2022/5/9,1,1
1103,2022/5/9,2,1
1103,2022/5/9,3,1
1103,2022/5/9,4,1
1103,2022/5/9,5,1
1103,2022/5/9,6,1
1103,2022/5/9,7,1
1103,2022/5/9,8,1
1103,2022/5/9,9,1
1103,2022/5/9,10,1
1103,2022/5/9,11,1
1103,2022/5/9,12,1
1103,2022/5/9,13,1
1103,2022/5/9,14,1
1103,2022/5/9,15,1
1103,2022/5/9,16,1
1103,2022/5/9,17,1
1103,2022/5/9,18,1
1103,2022/5/9,19,1
1103,2022/5/9,20,1
1103,2022/5/9,21,1
1103,2022/5/9,22,1
1103,2022/5/9,23,1
1103,2022/5/10,0,1
1103,2022/5/10,1,1
1103,2022/5/10,2,1
1103,2022/5/10,3,1
1103,2022/5/10,4,1
1103,2022/5/10,5,1
1103,2022/5/10,6,1
1103,2022/5/10,7,1
1103,2022/5/10,8,1
1103,2022/5/10,9,1
1103,2022/5/10,10,1
1103,2022/5/10,11,1
1103,2022/5/10,12,1
1103,2022/5/10,13,1
1103,2022/5/10,14,1
1103,2022/5/10,15,1
1103,2022/5/10,16,1
1103,2022/5/10,17,1
1103,2022/5/10,18,1
1103,2022/5/10,19,1
1103,2022/5/10,20,1
1103,2022/5/10,21,1
1103,2022/5/10,22,1
1103,2022/5/10,23,1
1103,2022/5/11,0,1
1103,2022/5/11,1,1
1103,2022/5/11,2,1
1103,2022/5/11,3,1
1103,2022/5/11,4,1
1103,2022/5/11,5,1
1103,2022/5/11,6,1
1103,2022/5/11,7,1
1103,2022/5/11,8,1
1103,2022/5/11,9,1
1103,2022/5/11,10,1
1103,2022/5/11,11,1
1103,2022/5/11,12,1
1103,2022/5/11,13,1
1103,2022/5/11,14,1
1103,2022/5/11,15,1
1103,2022/5/11,16,1
1103,2022/5/11,17,1
1103,2022/5/11,18,1
1103,2022/5/11,19,1
1103,2022/5/11,20,1
1103,2022/5/11,21,1
1103,2022/5/11,22,1
1103,2022/5/11,23,1
1103,2022/5/12,0,1
1103,2022/5/12,1,1
1103,2022/5/12,2,1
1103,2022/5/12,3,1
1103,2022/5/12,4,1
1103,2022/5/12,5,1
1103,2022/5/12,6,1
1103,2022/5/12,7,1
1103,2022/5/12,8,1
1103,2022/5/12,9,1
1103,2022/5/12,10,1
1103,2022/5/12,11,1
1103,2022/5/12,12,1
1103,2022/5/12,13,1
1103,2022/5/12,14,1
1103,2022/5/12,15,1
1103,2022/5/12,16,1
1103,2022/5/12,17,1.1
1103,2022/5/12,18,1.3
1103,2022/5/12,19,1.2
1103,2022/5/12,20,1
1103,2022/5/12,21,1
1103,2022/5/12,22,1
1103,2022/5/12,23,1
1103,2022/5/13,0,1
1103,2022/5/13,1,1
1103,2022/5/13,2,1
1103,2022/5/13,3,1
1103,2022/5/13,4,1
1103,2022/5/13,5,1
1103,2022/5/13,6,1
1103,2022/5/13,7,1
1103,2022/5/13,8,1
1103,2022/5/13,9,1
1103,2022/5/13,10,1
1103,2022/5/13,11,1
1103,2022/5/13,12,1
1103,2022/5/13,13,1
1103,2022/5/13,14,1
1103,2022/5/13,15,1
1103,2022/5/13,16,1
1103,2022/5/13,17,1.2
1103,2022/5/13,18,1.4
1103,2022/5/13,19,1.2
1103,2022/5/13,20,1
1103,2022/5/13,21,1
1103,2022/5/13,22,1
1103,2022/5/13,23,1
1104,2022/5/7,0,1
1104,2022/5/7,1,1
1104,2022/5/7,2,1
1104,2022/5/7,3,1.2
1104,2022/5/7,4,1.2
1104,2022/5/7,5,1.2
1104,2022/5/7,6,1.2
1104,2022/5/7,7,1.2
1104,2022/5/7,8,1.2
1104,2022/5/7,9,1.2
1104,2022/5/7,10,1.2
1104,2022/5/7,11,1.2
1104,2022/5/7,12,1.4
1104,2022/5/7,13,1.4
1104,2022/5/7,14,1
1104,2022/5/7,15,1.2
1104,2022/5/7,16,1.2
1104,2022/5/7,17,1.7
1104,2022/5/7,18,2.1
1104,2022/5/7,19,1.3
1104,2022/5/7,20,1.4
1104,2022/5/7,21,1.4
1104,2022/5/7,22,1.4
1104,2022/5/7,23,1.4
1104,2022/5/8,0,1.4
1104,2022/5/8,1,1.4
1104,2022/5/8,2,1.4
1104,2022/5/8,3,1.6
1104,2022/5/8,4,1.6
1104,2022/5/8,5,1.6
1104,2022/5/8,6,1.6
1104,2022/5/8,7,1.6
1104,2022/5/8,8,1.6
1104,2022/5/8,9,1.6
1104,2022/5/8,10,1.6
1104,2022/5/8,11,1.6
1104,2022/5/8,12,1.4
1104,2022/5/8,13,1.4
1104,2022/5/8,14,1.4
1104,2022/5/8,15,1.3
1104,2022/5/8,16,1.4
1104,2022/5/8,17,2
1104,2022/5/8,18,2.2
1104,2022/5/8,19,1.8
1104,2022/5/8,20,1.3
1104,2022/5/8,21,1.3
1104,2022/5/8,22,1.3
1104,2022/5/8,23,1.3
1104,2022/5/9,0,1.3
1104,2022/5/9,1,1.3
1104,2022/5/9,2,1.3
1104,2022/5/9,3,1.2
1104,2022/5/9,4,1.2
1104,2022/5/9,5,1.2
1104,2022/5/9,6,1.2
1104,2022/5/9,7,1.2
1104,2022/5/9,8,1.2
1104,2022/5/9,9,1.2
1104,2022/5/9,10,1
1104,2022/5/9,11,1.1
1104,2022/5/9,12,1.1
1104,2022/5/9,13,1
1104,2022/5/9,14,1
1104,2022/5/9,15,1
1104,2022/5/9,16,1.1
1104,2022/5/9,17,1.3
1104,2022/5/9,18,1.4
1104,2022/5/9,19,1.2
1104,2022/5/9,20,1
1104,2022/5/9,21,1
1104,2022/5/9,22,1
1104,2022/5/9,23,1
1104,2022/5/10,0,1
1104,2022/5/10,1,1
1104,2022/5/10,2,1
1104,2022/5/10,3,1.2
1104,2022/5/10,4,1.2
1104,2022/5/10,5,1.2
1104,2022/5/10,6,1.2
1104,2022/5/10,7,1.2
1104,2022/5/10,8,1.2
1104,2022/5/10,9,1.2
1104,2022/5/10,10,1
1104,2022/5/10,11,1.1
1104,2022/5/10,12,1.1
1104,2022/5/10,13,1
1104,2022/5/10,14,1
1104,2022/5/10,15,1
1104,2022/5/10,16,1.1
1104,2022/5/10,17,1.3
1104,2022/5/10,18,1.4
1104,2022/5/10,19,1.2
1104,2022/5/10,20,1
1104,2022/5/10,21,1
1104,2022/5/10,22,1
1104,2022/5/10,23,1
1104,2022/5/11,0,1
1104,2022/5/11,1,1
1104,2022/5/11,2,1
1104,2022/5/11,3,1.2
1104,2022/5/11,4,1.2
1104,2022/5/11,5,1.2
1104,2022/5/11,6,1.2
1104,2022/5/11,7,1.2
1104,2022/5/11,8,1.2
1104,2022/5/11,9,1.2
1104,2022/5/11,10,1
1104,2022/5/11,11,1.1
1104,2022/5/11,12,1.1
1104,2022/5/11,13,1
1104,2022/5/11,14,1
1104,2022/5/11,15,1
1104,2022/5/11,16,1.1
1104,2022/5/11,17,1.3
1104,2022/5/11,18,1.4
1104,2022/5/11,19,1.2
1104,2022/5/11,20,1
1104,2022/5/11,21,1
1104,2022/5/11,22,1
1104,2022/5/11,23,1
1104,2022/5/12,0,1
1104,2022/5/12,1,1
1104,2022/5/12,2,1
1104,2022/5/12,3,1.2
1104,2022/5/12,4,1.2
1104,2022/5/12,5,1.2
1104,2022/5/12,6,1.2
1104,2022/5/12,7,1.2
1104,2022/5/12,8,1.2
1104,2022/5/12,9,1.2
1104,2022/5/12,10,1
1104,2022/5/12,11,1.1
1104,2022/5/12,12,1
1104,2022/5/12,13,1
1104,2022/5/12,14,1
1104,2022/5/12,15,1
1104,2022/5/12,16,1
1104,2022/5/12,17,1.3
1104,2022/5/12,18,1.4
1104,2022/5/12,19,1.3
1104,2022/5/12,20,1
1104,2022/5/12,21,1
1104,2022/5/12,22,1
1104,2022/5/12,23,1
1104,2022/5/13,0,1
1104,2022/5/13,1,1
1104,2022/5/13,2,1
1104,2022/5/13,3,1.6
1104,2022/5/13,4,1.6
1104,2022/5/13,5,1.6
1104,2022/5/13,6,1.6
1104,2022/5/13,7,1.6
1104,2022/5/13,8,1.6
1104,2022/5/13,9,1.6
1104,2022/5/13,10,1.6
1104,2022/5/13,11,1.6
1104,2022/5/13,12,1.4
1104,2022/5/13,13,1.4
1104,2022/5/13,14,1.4
1104,2022/5/13,15,1.3
1104,2022/5/13,16,1.4
1104,2022/5/13,17,2
1104,2022/5/13,18,2.2
1104,2022/5/13,19,1.8
1104,2022/5/13,20,1.3
1104,2022/5/13,21,1.3
1104,2022/5/13,22,1.3
1104,2022/5/13,23,1.3
1105,2022/5/7,0,1
1105,2022/5/7,1,1
1105,2022/5/7,2,1
1105,2022/5/7,3,1.4
1105,2022/5/7,4,1.4
1105,2022/5/7,5,1.4
1105,2022/5/7,6,1.4
1105,2022/5/7,7,1.4
1105,2022/5/7,8,1.4
1105,2022/5/7,9,1.4
1105,2022/5/7,10,1.4
1105,2022/5/7,11,1.4
1105,2022/5/7,12,1.4
1105,2022/5/7,13,1.2
1105,2022/5/7,14,1.2
1105,2022/5/7,15,1.2
1105,2022/5/7,16,1.2
1105,2022/5/7,17,1.6
1105,2022/5/7,18,1.8
1105,2022/5/7,19,1.6
1105,2022/5/7,20,1.2
1105,2022/5/7,21,1.2
1105,2022/5/7,22,1.2
1105,2022/5/7,23,1.2
1105,2022/5/8,0,1.2
1105,2022/5/8,1,1.2
1105,2022/5/8,2,1.2
1105,2022/5/8,3,1.5
1105,2022/5/8,4,1.5
1105,2022/5/8,5,1.5
1105,2022/5/8,6,1.5
1105,2022/5/8,7,1.5
1105,2022/5/8,8,1.5
1105,2022/5/8,9,1.5
1105,2022/5/8,10,1.5
1105,2022/5/8,11,1.5
1105,2022/5/8,12,1.6
1105,2022/5/8,13,1.3
1105,2022/5/8,14,1.2
1105,2022/5/8,15,1.2
1105,2022/5/8,16,1.3
1105,2022/5/8,17,1.7
1105,2022/5/8,18,1.9
1105,2022/5/8,19,1.5
1105,2022/5/8,20,1.1
1105,2022/5/8,21,1.1
1105,2022/5/8,22,1.1
1105,2022/5/8,23,1.1
1105,2022/5/9,0,1.1
1105,2022/5/9,1,1.1
1105,2022/5/9,2,1.1
1105,2022/5/9,3,1.2
1105,2022/5/9,4,1.2
1105,2022/5/9,5,1.2
1105,2022/5/9,6,1.2
1105,2022/5/9,7,1.2
1105,2022/5/9,8,1.2
1105,2022/5/9,9,1.2
1105,2022/5/9,10,1
1105,2022/5/9,11,1.1
1105,2022/5/9,12,1.1
1105,2022/5/9,13,1
1105,2022/5/9,14,1
1105,2022/5/9,15,1
1105,2022/5/9,16,1.1
1105,2022/5/9,17,1.3
1105,2022/5/9,18,1.4
1105,2022/5/9,19,1.2
1105,2022/5/9,20,1
1105,2022/5/9,21,1
1105,2022/5/9,22,1
1105,2022/5/9,23,1
1105,2022/5/10,0,1
1105,2022/5/10,1,1
1105,2022/5/10,2,1
1105,2022/5/10,3,1.2
1105,2022/5/10,4,1.2
1105,2022/5/10,5,1.2
1105,2022/5/10,6,1.2
1105,2022/5/10,7,1.2
1105,2022/5/10,8,1.2
1105,2022/5/10,9,1.2
1105,2022/5/10,10,1
1105,2022/5/10,11,1.1
1105,2022/5/10,12,1.1
1105,2022/5/10,13,1
1105,2022/5/10,14,1
1105,2022/5/10,15,1
1105,2022/5/10,16,1.1
1105,2022/5/10,17,1.3
1105,2022/5/10,18,1.4
1105,2022/5/10,19,1.2
1105,2022/5/10,20,1
1105,2022/5/10,21,1
1105,2022/5/10,22,1
1105,2022/5/10,23,1
1105,2022/5/11,0,1
1105,2022/5/11,1,1
1105,2022/5/11,2,1
1105,2022/5/11,3,1.2
1105,2022/5/11,4,1.2
1105,2022/5/11,5,1.2
1105,2022/5/11,6,1.2
1105,2022/5/11,7,1.2
1105,2022/5/11,8,1.2
1105,2022/5/11,9,1.2
1105,2022/5/11,10,1
1105,2022/5/11,11,1.1
1105,2022/5/11,12,1.1
1105,2022/5/11,13,1
1105,2022/5/11,14,1
1105,2022/5/11,15,1
1105,2022/5/11,16,1.1
1105,2022/5/11,17,1.3
1105,2022/5/11,18,1.4
1105,2022/5/11,19,1.2
1105,2022/5/11,20,1
1105,2022/5/11,21,1
1105,2022/5/11,22,1
1105,2022/5/11,23,1
1105,2022/5/12,0,1
1105,2022/5/12,1,1
1105,2022/5/12,2,1
1105,2022/5/12,3,1.2
1105,2022/5/12,4,1.2
1105,2022/5/12,5,1.2
1105,2022/5/12,6,1.2
1105,2022/5/12,7,1.2
1105,2022/5/12,8,1.2
1105,2022/5/12,9,1.2
1105,2022/5/12,10,1
1105,2022/5/12,11,1.1
1105,2022/5/12,12,1
1105,2022/5/12,13,1
1105,2022/5/12,14,1
1105,2022/5/12,15,1
1105,2022/5/12,16,1
1105,2022/5/12,17,1.3
1105,2022/5/12,18,1.4
1105,2022/5/12,19,1.3
1105,2022/5/12,20,1
1105,2022/5/12,21,1
1105,2022/5/12,22,1
1105,2022/5/12,23,1
1105,2022/5/13,0,1
1105,2022/5/13,1,1
1105,2022/5/13,2,1
1105,2022/5/13,3,1.3
1105,2022/5/13,4,1.3
1105,2022/5/13,5,1.3
1105,2022/5/13,6,1.3
1105,2022/5/13,7,1.3
1105,2022/5/13,8,1.3
1105,2022/5/13,9,1.3
1105,2022/5/13,10,1.4
1105,2022/5/13,11,1.5
1105,2022/5/13,12,1.6
1105,2022/5/13,13,1.3
1105,2022/5/13,14,1.2
